mass,fa
7.50,37.83
8.61,37.83
6.60,37.85
6.68,37.85
10.77,37.86
7.50,37.86
9.90,37.86
6.14,37.86
6.63,37.86
7.20,37.86
6.50,37.87
7.39,37.87
7.78,37.87
8.43,37.87
6.90,37.87
8.60,37.88
7.80,37.88
6.45,37.88
7.84,37.88
9.22,37.88
6.10,37.89
7.30,37.89
8.90,37.89
6.80,37.90
6.84,37.90
6.87,37.90
7.30,37.91
6.70,37.91
8.14,37.91
6.80,37.91
8.02,37.91
7.60,37.91
7.87,37.91
6.00,37.92
7.10,37.92
8.30,37.92
8.70,37.92
6.77,37.93
6.90,37.93
9.14,37.93
7.58,37.93
7.30,37.94
7.11,37.94
10.57,37.94
6.90,37.94
7.10,37.95
6.70,37.96
6.90,37.96
7.00,37.96
7.23,37.96
7.81,37.96
8.67,37.96
11.50,37.96
6.69,37.96
9.31,37.96
6.80,37.96
7.90,37.96
7.83,37.97
7.60,37.97
7.80,37.97
6.80,37.98
8.41,37.98
6.80,37.98
7.40,37.99
6.45,37.99
6.80,37.99
12.29,37.99
5.60,38.00
5.91,38.00
6.13,38.00
6.28,38.00
6.80,38.00
6.90,38.00
6.99,38.00
7.50,38.00
7.60,38.00
8.10,38.00
8.30,38.00
8.60,38.00
10.74,38.00
6.70,38.00
6.50,38.01
6.99,38.01
8.70,38.01
6.82,38.01
9.89,38.01
7.20,38.02
9.30,38.02
7.82,38.02
6.80,38.02
7.60,38.03
8.98,38.03
7.70,38.04
8.10,38.04
6.80,38.05
6.95,38.06
7.80,38.06
9.06,38.06
10.46,38.07
11.58,38.07
6.90,38.07
6.48,38.08
7.30,38.08
11.73,38.08
6.90,38.08
8.03,38.08
8.73,38.09
8.75,38.09
10.12,38.10
6.90,38.11
5.87,38.11
5.88,38.11
6.50,38.11
6.80,38.11
9.08,38.11
7.86,38.12
9.01,38.12
8.80,38.12
9.53,38.12
8.70,38.13
6.70,38.13
7.50,38.13
7.10,38.14
9.17,38.14
6.88,38.14
6.33,38.15
6.45,38.15
9.24,38.15
7.70,38.16
7.10,38.16
7.35,38.16
8.43,38.16
7.40,38.16
7.75,38.17
6.80,38.17
7.80,38.17
7.30,38.18
6.90,38.18
6.90,38.18
6.90,38.19
9.10,38.19
9.41,38.19
11.39,38.19
8.56,38.20
6.70,38.20
6.80,38.20
8.73,38.20
7.80,38.20
8.00,38.20
8.72,38.20
11.47,38.21
8.91,38.21
7.20,38.21
6.60,38.22
8.16,38.22
8.80,38.22
8.80,38.22
7.00,38.22
7.20,38.22
8.60,38.23
5.74,38.23
7.26,38.23
8.00,38.23
7.03,38.24
8.90,38.24
7.15,38.25
8.52,38.25
7.57,38.26
7.60,38.26
7.60,38.26
12.09,38.26
7.12,38.26
8.78,38.27
6.80,38.27
9.03,38.27
6.88,38.28
7.20,38.28
8.75,38.28
6.80,38.28
7.80,38.28
7.80,38.29
7.30,38.29
7.80,38.29
9.68,38.29
6.98,38.31
6.70,38.31
8.47,38.31
9.24,38.31
9.30,38.31
7.00,38.31
10.04,38.32
6.60,38.33
5.76,38.33
10.92,38.33
8.00,38.34
6.62,38.35
9.56,38.35
6.60,38.36
7.10,38.36
6.70,38.36
8.83,38.36
7.66,38.37
7.74,38.37
6.80,38.38
8.14,38.38
7.45,38.38
6.70,38.39
8.00,38.39
7.10,38.39
7.20,38.40
7.60,38.40
9.60,38.40
6.60,38.41
6.40,38.41
7.07,38.41
7.30,38.41
10.44,38.41
8.40,38.42
7.44,38.42
7.60,38.42
7.73,38.43
9.8,38.4
10.18,38.44
6.49,38.44
8.94,38.44
7.60,38.44
6.70,38.45
6.80,38.45
7.70,38.45
7.80,38.45
7.60,38.45
6.20,38.45
7.10,38.46
11.24,38.46
11.90,38.46
7.20,38.46
9.70,38.47
7.00,38.47
7.10,38.47
9.35,38.47
6.70,38.48
7.65,38.48
8.23,38.48
8.30,38.48
7.10,38.48
8.51,38.49
5.70,38.50
6.69,38.50
7.00,38.50
7.47,38.50
7.61,38.50
7.91,38.50
8.69,38.50
7.59,38.51
8.25,38.51
7.60,38.51
7.30,38.52
7.67,38.53
8.20,38.53
8.10,38.54
8.80,38.55
6.90,38.55
7.11,38.55
10.87,38.55
7.00,38.56
7.48,38.56
8.50,38.56
7.70,38.57
7.63,38.57
7.20,38.57
9.40,38.58
8.38,38.59
10.49,38.59
6.90,38.59
7.60,38.59
7.10,38.60
6.70,38.61
7.60,38.61
8.50,38.61
6.92,38.61
7.00,38.61
7.30,38.62
7.71,38.62
8.20,38.62
7.00,38.63
7.00,38.63
7.24,38.63
7.29,38.63
7.37,38.63
8.99,38.63
7.20,38.64
7.10,38.64
10.50,38.64
8.60,38.65
8.61,38.65
7.80,38.65
7.56,38.65
8.67,38.65
8.60,38.66
7.85,38.66
7.60,38.66
7.00,38.67
9.54,38.67
9.09,38.68
10.80,38.68
6.20,38.68
7.80,38.69
6.60,38.69
8.25,38.69
7.20,38.69
7.90,38.70
7.66,38.71
9.24,38.72
12.48,38.73
7.50,38.74
7.31,38.74
7.70,38.74
7.70,38.74
7.30,38.74
7.19,38.75
10.17,38.75
9.60,38.75
7.22,38.76
7.60,38.76
8.22,38.77
6.77,38.77
7.60,38.77
7.30,38.78
7.40,38.78
7.00,38.78
7.60,38.79
7.40,38.80
6.23,38.80
8.60,38.81
7.93,38.81
7.80,38.83
7.29,38.83
10.00,38.84
7.10,38.85
8.00,38.86
6.63,38.87
6.87,38.87
7.90,38.87
8.80,38.87
8.40,38.88
6.80,38.89
7.33,38.90
7.30,38.90
6.61,38.91
7.20,38.91
7.40,38.92
7.42,38.92
10.02,38.92
9.33,38.93
7.68,38.93
7.60,38.94
7.90,38.94
6.90,38.94
8.50,38.94
7.70,38.95
5.80,38.95
7.90,38.97
8.78,38.97
7.20,38.97
8.20,38.97
7.22,38.97
10.50,38.97
8.30,38.98
8.30,38.98
8.77,38.98
6.67,38.99
6.30,39.00
6.50,39.00
6.53,39.00
7.04,39.00
7.56,39.00
7.60,39.00
7.60,39.00
7.81,39.00
7.12,39.01
7.70,39.01
7.10,39.02
7.29,39.02
8.84,39.02
9.13,39.02
7.00,39.03
8.47,39.03
9.51,39.03
